station_complex_id,Station,Line Name,Division,Notes,unique_ID
R301,CENTRAL PK N110,23,IRT,,CENTRAL PK N110-23-IRT
A069,CHAMBERS ST,JZ456,BMT,,CHAMBERS ST-JZ456-BMT
N094,CHAMBERS ST,ACE23,IND,,CHAMBERS ST-ACE23-IND
R116,CHAMBERS ST,123,IRT,,CHAMBERS ST-123-IRT
J017,CHAUNCEY ST,JZ,BMT,,CHAUNCEY ST-JZ-BMT
R125,CHRISTOPHER ST,1,IRT,,CHRISTOPHER ST-1-IRT
B016,CHURCH AV,BQ,BMT,,CHURCH AV-BQ-BMT
N546,CHURCH AV,FG,IND,,CHURCH AV-FG-IND
R639,CHURCH AV,25,IRT,,CHURCH AV-25-IRT
A047,CITY HALL,NRW,BMT,,CITY HALL-NRW-BMT
R600,CLARK ST,23,IRT,,CLARK ST-23-IRT
N419,CLASSON AV,G,IND,,CLASSON AV-G-IND
J022,CLEVELAND ST,J,BMT,,CLEVELAND ST-J-BMT
N111,CLINTON-WASH AV,C,IND,,CLINTON-WASH AV-C-IND
N420B,CLINTON-WASH AV,G,IND,,CLINTON-WASH AV-G-IND
G009,CONEY IS-STILLW,DFNQ,BMT,,CONEY IS-STILLW-DFNQ-BMT
B018,CORTELYOU RD,BQ,BMT,,CORTELYOU RD-BQ-BMT
N094,CORTLANDT ST,RNW,BMT,,CORTLANDT ST-RNW-BMT
N307,COURT SQ,EMG,IND,,COURT SQ-EMG-IND
N307,COURT SQ,7,IRT,,COURT SQ-7-IRT
N307,COURT SQ-23 ST,EMG,IND,,COURT SQ-23 ST-EMG-IND
J024,CRESCENT ST,JZ,BMT,,CRESCENT ST-JZ-BMT
R626,CROWN HTS-UTICA,34,IRT,,CROWN HTS-UTICA-34-IRT
R404,CYPRESS AV,6,IRT,,CYPRESS AV-6-IRT
J025,CYPRESS HILLS,J,BMT,,CYPRESS HILLS-J-BMT
C008,DEKALB AV,BDNQR,BMT,,DEKALB AV-BDNQR-BMT
H023,DEKALB AV,L,BMT,,DEKALB AV-L-BMT
N525,DELANCEY/ESSEX,FJMZ,BMT,,DELANCEY/ESSEX-FJMZ-BMT
N525,DELANCEY/ESSEX,FJMZ,IND,,DELANCEY/ESSEX-FJMZ-IND
N548,DITMAS AV,F,IND,,DITMAS AV-F-IND
N003,DYCKMAN ST,A,IND,,DYCKMAN ST-A-IND
R186,DYCKMAN ST,1,IRT,,DYCKMAN ST-1-IRT
R406,E 143/ST MARY'S,6,IRT,,E 143/ST MARY'S-6-IRT
R408,E 149 ST,6,IRT,,E 149 ST-6-IRT
R325,E 180 ST,25,IRT,,E 180 ST-25-IRT
H040,EAST 105 ST,L,BMT,,EAST 105 ST-L-BMT
N529,EAST BROADWAY,F,IND,,EAST BROADWAY-F-IND
R730,EASTCHSTER/DYRE,5,IRT,,EASTCHSTER/DYRE-5-IRT
R621,EASTN PKWY-MUSM,23,IRT,,EASTN PKWY-MUSM-23-IRT
R414,ELDER AV,6,IRT,,ELDER AV-6-IRT
N325A,ELMHURST AV,MR,IND,,ELMHURST AV-MR-IND
N128,EUCLID AV,AC,IND,,EUCLID AV-AC-IND
N196,FAR ROCKAWAY,A,IND,,FAR ROCKAWAY-A-IND
R645,FLATBUSH AV-B.C,25,IRT,,FLATBUSH AV-B.C-25-IRT
J007,FLUSHING AV,JM,BMT,,FLUSHING AV-JM-BMT
N414,FLUSHING AV,G,IND,,FLUSHING AV-G-IND
R533,FLUSHING-MAIN,7,IRT,,FLUSHING-MAIN-7-IRT
N217,FORDHAM RD,BD,IND,,FORDHAM RD-BD-IND
R289,FORDHAM RD,4,IRT,,FORDHAM RD-4-IRT
K024,FOREST AVE,M,BMT,,FOREST AVE-M-BMT
N333A,FOREST HILLS 71,EFMR,IND,,FOREST HILLS 71-EFMR-IND
N114,FRANKLIN AV,ACS,IND,,FRANKLIN AV-ACS-IND
R622,FRANKLIN AV,2345S,IRT,,FRANKLIN AV-2345S-IRT
R117,FRANKLIN ST,1,IRT,,FRANKLIN ST-1-IRT
R320,FREEMAN ST,25,IRT,,FREEMAN ST-25-IRT
K025,FRESH POND RD,M,BMT,,FRESH POND RD-M-BMT
D003,FT HAMILTON PKY,N,BMT,,FT HAMILTON PKY-N-BMT
E003,FT HAMILTON PKY,D,BMT,,FT HAMILTON PKY-D-BMT
N543,FT HAMILTON PKY,FG,IND,,FT HAMILTON PKY-FG-IND
N095,FULTON ST,ACJZ2345,BMT,,FULTON ST-ACJZ2345-BMT
N095,FULTON ST,ACJZ2345,IND,,FULTON ST-ACJZ2345-IND
N095,FULTON ST,2345ACJZ,IND,,FULTON ST-2345ACJZ-IND
N095,FULTON ST,2345ACJZ,IRT,,FULTON ST-2345ACJZ-IRT
N422,FULTON ST,G,IND,,FULTON ST-G-IND
J013,GATES AV,JZ,BMT,,GATES AV-JZ-BMT
H013,GRAHAM AV,L,BMT,,GRAHAM AV-L-BMT
R619,GRAND ARMY PLAZ,23,IRT,,GRAND ARMY PLAZ-23-IRT
H015,GRAND ST,L,BMT,,GRAND ST-L-BMT
N520,GRAND ST,BD,IND,,GRAND ST-BD-IND
N327,GRAND-NEWTOWN,MR,IND,,GRAND-NEWTOWN-MR-IND
N129,GRANT AV,A,IND,,GRANT AV-A-IND
R238,GRD CNTRL-42 ST,4567S,IRT,,GRD CNTRL-42 ST-4567S-IRT
N405,GREENPOINT AV,G,IND,,GREENPOINT AV-G-IND
R331,GUN HILL RD,25,IRT,,GUN HILL RD-25-IRT
R728,GUN HILL RD,5,IRT,,GUN HILL RD-5-IRT
H028,HALSEY ST,L,BMT,,HALSEY ST-L-BMT
J016,HALSEY ST,J,BMT,,HALSEY ST-J-BMT
R309,HARLEM 148 ST,3,IRT,,HARLEM 148 ST-3-IRT
J003,HEWES ST,JM,BMT,,HEWES ST-JM-BMT
N100,HIGH ST,AC,IND,,HIGH ST-AC-IND
R123,HOUSTON ST,1,IRT,,HOUSTON ST-1-IRT
N182,HOWARD BCH JFK,A,IND,,HOWARD BCH JFK-A-IND
R606,HOYT ST,23,IRT,,HOYT ST-23-IRT
N108,HOYT-SCHER,ACG,IND,,HOYT-SCHER-ACG-IND
R507,HUNTERS PT AV,7,IRT,,HUNTERS PT AV-7-IRT
R412,HUNTS POINT AV,6,IRT,,HUNTS POINT AV-6-IRT
R316,INTERVALE AV,25,IRT,,INTERVALE AV-25-IRT
N002A,INWOOD-207 ST,A,IND,,INWOOD-207 ST-A-IND
R312,JACKSON AV,25,IRT,,JACKSON AV-25-IRT
N343,JAMAICA 179 ST,F,IND,,JAMAICA 179 ST-F-IND
N606,JAMAICA CENTER,EJZ,IND,,JAMAICA CENTER-EJZ-IND
N604,JAMAICA VAN WK,E,IND,,JAMAICA VAN WK-E-IND
N103,JAY ST-METROTEC,R,BMT,,JAY ST-METROTEC-R-BMT
N103,JAY ST-METROTEC,ACF,IND,,JAY ST-METROTEC-ACF-IND
H022,JEFFERSON ST,L,BMT,,JEFFERSON ST-L-BMT
N606,JFK JAMAICA CT1,E,IND,Name does not appear in new dataset - assume same as N606,JFK JAMAICA CT1-E-IND
R525,JKSN HT-ROOSVLT,EFMR7,IND,,JKSN HT-ROOSVLT-EFMR7-IND
R528,JUNCTION BLVD,7,IRT,,JUNCTION BLVD-7-IRT
R630,JUNIUS ST,3,IRT,,JUNIUS ST-3-IRT
N336,KEW GARDENS,EF,IND,,KEW GARDENS-EF-IND
B024,KINGS HWY,BQ,BMT,,KINGS HWY-BQ-BMT
D012,KINGS HWY,N,BMT,,KINGS HWY-N-BMT
N557,KINGS HWY,F,IND,,KINGS HWY-F-IND
N221,KINGSBRIDGE RD,BD,IND,,KINGSBRIDGE RD-BD-IND
R290,KINGSBRIDGE RD,4,IRT,,KINGSBRIDGE RD-4-IRT
R624,KINGSTON AV,3,IRT,,KINGSTON AV-3-IRT
N119,KINGSTON-THROOP,C,IND,,KINGSTON-THROOP-C-IND
K019,KNICKERBOCKER,M,BMT,,KNICKERBOCKER-M-BMT
J012,KOSCIUSZKO ST,J,BMT,,KOSCIUSZKO ST-J-BMT
N110,LAFAYETTE AV,C,IND,,LAFAYETTE AV-C-IND
N305,LEXINGTON AV/53,EM6,IND,,LEXINGTON AV/53-EM6-IND
N601,LEXINGTON AV/63,F,IND,,LEXINGTON AV/63-F-IND
N125,LIBERTY AV,C,IND,,LIBERTY AV-C-IND
H038,LIVONIA AV,L,BMT,,LIVONIA AV-L-BMT
R410,LONGWOOD AV,6,IRT,,LONGWOOD AV-6-IRT
H012,LORIMER ST,LG,BMT,,LORIMER ST-LG-BMT
J005,LORIMER ST,JM,BMT,,LORIMER ST-JM-BMT
R192,MARBLE HILL-225,1,IRT,,MARBLE HILL-225-1-IRT
J001,MARCY AV,JMZ,BMT,,MARCY AV-JMZ-BMT
H012,METROPOLITAN AV,GL,IND,,METROPOLITAN AV-GL-IND
K026,METROPOLITAN AV,M,BMT,,METROPOLITAN AV-M-BMT
R532,METS-WILLETS PT,7,IRT,,METS-WILLETS PT-7-IRT
R421,MIDDLETOWN RD,6,IRT,,MIDDLETOWN RD-6-IRT
H017,MONTROSE AV,L,BMT,,MONTROSE AV-L-BMT
H019,MORGAN AV,L,BMT,,MORGAN AV-L-BMT
R415,MORISN AV/SNDVW,6,IRT,,MORISN AV/SNDVW-6-IRT
R726,MORRIS PARK,5,IRT,,MORRIS PARK-5-IRT
R293,MOSHOLU PKWY,4,IRT,,MOSHOLU PKWY-4-IRT
R285,MT EDEN AV,4,IRT,,MT EDEN AV-4-IRT
J009,MYRTLE AV,JMZ,BMT,,MYRTLE AV-JMZ-BMT
N415,MYRTLE-WILLOUGH,G,IND,,MYRTLE-WILLOUGH-G-IND
H026,MYRTLE-WYCKOFF,LM,BMT,,MYRTLE-WYCKOFF-LM-BMT
N408A,NASSAU AV,G,IND,,NASSAU AV-G-IND
B026,NECK RD,BQ,BMT,,NECK RD-BQ-BMT
N562,NEPTUNE AV,F,IND,,NEPTUNE AV-F-IND
R335,NEREID AV,25,IRT,,NEREID AV-25-IRT
R608,NEVINS ST,2345,IRT,,NEVINS ST-2345-IRT
H039,NEW LOTS,L,BMT,,NEW LOTS-L-BMT
R634,NEW LOTS AV,3,IRT,,NEW LOTS AV-3-IRT
E006,NEW UTRECHT AV,ND,BMT,,NEW UTRECHT AV-ND-BMT
R643,NEWKIRK AV,25,IRT,,NEWKIRK AV-25-IRT
B019,NEWKIRK PLAZA,BQ,BMT,,NEWKIRK PLAZA-BQ-BMT
N318,NORTHERN BLVD,MR,IND,,NORTHERN BLVD-MR-IND
N224,NORWOOD 205 ST,D,IND,,NORWOOD 205 ST-D-IND
J023,NORWOOD AV,JZ,BMT,,NORWOOD AV-JZ-BMT
N116,NOSTRAND AV,AC,IND,,NOSTRAND AV-AC-IND
R623,NOSTRAND AV,3,IRT,,NOSTRAND AV-3-IRT
B032,OCEAN PKWY,Q,BMT,,OCEAN PKWY-Q-BMT
N141,OZONE PK LEFFRT,A,IND,,OZONE PK LEFFRT-A-IND
B009,PARK PLACE,S,BMT,,PARK PLACE-S-BMT
N094,PARK PLACE,23ACE,IRT,,PARK PLACE-23ACE-IRT
R417,PARKCHESTER,6,IRT,,PARKCHESTER-6-IRT
B014,PARKSIDE AV,BQ,BMT,,PARKSIDE AV-BQ-BMT
N339A,PARSONS BLVD,F,IND,,PARSONS BLVD-F-IND
R423,PELHAM BAY PARK,6,IRT,,PELHAM BAY PARK-6-IRT
R328,PELHAM PKWY,25,IRT,,PELHAM PKWY-25-IRT
R727,PELHAM PKWY,5,IRT,,PELHAM PKWY-5-IRT
R632,PENNSYLVANIA AV,3,IRT,,PENNSYLVANIA AV-3-IRT
R635,PRESIDENT ST,25,IRT,,PRESIDENT ST-25-IRT
A041,PRINCE ST,NRW,BMT,,PRINCE ST-NRW-BMT
C014,PROSPECT AV,R,BMT,,PROSPECT AV-R-BMT
R314,PROSPECT AV,25,IRT,,PROSPECT AV-25-IRT
B013,PROSPECT PARK,BQS,BMT,,PROSPECT PARK-BQS-BMT
N309A,QUEENS PLAZA,EMR,IND,,QUEENS PLAZA-EMR-IND
R509,QUEENSBORO PLZ,7NQW,IRT,,QUEENSBORO PLZ-7NQW-IRT
N121B,RALPH AV,C,IND,,RALPH AV-C-IND
A054,RECTOR ST,NRW,BMT,,RECTOR ST-NRW-BMT
R103,RECTOR ST,1,IRT,,RECTOR ST-1-IRT
N122,ROCKAWAY AV,C,IND,,ROCKAWAY AV-C-IND
R629,ROCKAWAY AV,3,IRT,,ROCKAWAY AV-3-IRT
N134,ROCKAWAY BLVD,A,IND,,ROCKAWAY BLVD-A-IND
N187,ROCKAWAY PARK B,AS,IND,,ROCKAWAY PARK B-AS-IND
N602,ROOSEVELT ISLND,F,IND,,ROOSEVELT ISLND-F-IND
R628,SARATOGA AV,3,IRT,,SARATOGA AV-3-IRT
K022,SENECA AVE,M,BMT,,SENECA AVE-M-BMT
B027,SHEEPSHEAD BAY,BQ,BMT,,SHEEPSHEAD BAY-BQ-BMT
N127,SHEPHERD AV,C,IND,,SHEPHERD AV-C-IND
R318,SIMPSON ST,25,IRT,,SIMPSON ST-25-IRT
N536,SMITH-9 ST,FG,IND,,SMITH-9 ST-FG-IND
R101,SOUTH FERRY,1RW,IRT,,SOUTH FERRY-1RW-IRT
N086,SPRING ST,CE,IND,,SPRING ST-CE-IND
R215,SPRING ST,6,IRT,,SPRING ST-6-IRT
R416,ST LAWRENCE AV,6,IRT,,ST LAWRENCE AV-6-IRT
N315,STEINWAY ST,MR,IND,,STEINWAY ST-MR-IND
R636,STERLING ST,25,IRT,,STERLING ST-25-IRT
N338B,SUTPHIN BLVD,F,IND,,SUTPHIN BLVD-F-IND
N605,SUTPHIN-ARCHER,EJZ,IND,,SUTPHIN-ARCHER-EJZ-IND
H037,SUTTER AV,L,BMT,,SUTTER AV-L-BMT
R627,SUTTER AV-RUTLD,3,IRT,,SUTTER AV-RUTLD-3-IRT
N060,TIMES SQ-42 ST,ACENQRS1237W,BMT,,TIMES SQ-42 ST-ACENQRS1237W-BMT
N060,TIMES SQ-42 ST,1237ACENQRSW,IRT,,TIMES SQ-42 ST-1237ACENQRSW-IRT
N060,TIMES SQ-42 ST,1237ACENQRS,IRT,,TIMES SQ-42 ST-1237ACENQRS-IRT
N213,TREMONT AV,BD,IND,,TREMONT AV-BD-IND
C010,UNION ST,R,BMT,,UNION ST-R-BMT
N120,UTICA AV,AC,IND,,UTICA AV-AC-IND
R197,V.CORTLANDT PK,1,IRT,,V.CORTLANDT PK-1-IRT
J021,VAN SICLEN AV,JZ,BMT,,VAN SICLEN AV-JZ-BMT
R633,VAN SICLEN AV,3,IRT,,VAN SICLEN AV-3-IRT
N126,VAN SICLEN AVE,C,IND,,VAN SICLEN AVE-C-IND
R504,VERNON-JACKSON,7,IRT,,VERNON-JACKSON-7-IRT
N080,W 4 ST-WASH SQ,ABCDEFM,IND,,W 4 ST-WASH SQ-ABCDEFM-IND
G011,W 8 ST-AQUARIUM,FQ,BMT,,W 8 ST-AQUARIUM-FQ-BMT
R336,WAKEFIELD/241,2,IRT,,WAKEFIELD/241-2-IRT
R111,WALL ST,23,IRT,,WALL ST-23-IRT
R203,WALL ST,45,IRT,,WALL ST-45-IRT
R323,WEST FARMS SQ,25,IRT,,WEST FARMS SQ-25-IRT
R420,WESTCHESTER SQ,6,IRT,,WESTCHESTER SQ-6-IRT
R101,WHITEHALL S-FRY,R1W,BMT,,WHITEHALL S-FRY-R1W-BMT
R413,WHITLOCK AV,6,IRT,,WHITLOCK AV-6-IRT
H032,WILSON AV,L,BMT,,WILSON AV-L-BMT
R637,WINTHROP ST,25,IRT,,WINTHROP ST-25-IRT
J031,WOODHAVEN BLVD,JZ,BMT,,WOODHAVEN BLVD-JZ-BMT
N329,WOODHAVEN BLVD,MR,IND,,WOODHAVEN BLVD-MR-IND
R294,WOODLAWN,4,IRT,,WOODLAWN-4-IRT
N094,WORLD TRADE CTR,ACE23,IND,,WORLD TRADE CTR-ACE23-IND
R106,WTC-CORTLANDT,1,IRT,,WTC-CORTLANDT-1-IRT
N530,YORK ST,F,IND,,YORK ST-F-IND
R419,ZEREGA AV,6,IRT,,ZEREGA AV-6-IRT
