station_complex_id,unique_ID
H007,1 AV-L-BMT
N037,103 ST-BC-IND
R170,103 ST-1-IRT
R252,103 ST-6-IRT
R529,103 ST-CORONA-7-IRT
J034,104 ST-JZ-BMT
N137,104 ST-A-IND
R254,110 ST-6-IRT
J035,111 ST-J-BMT
N139,111 ST-A-IND
R530,111 ST-7-IRT
N030,116 ST-BC-IND
R256,116 ST-6-IRT
R302,116 ST-23-IRT
R173,116 ST-COLUMBIA-1-IRT
J037,121 ST-JZ-BMT
N026,125 ST-ACBD-IND
R174,125 ST-1-IRT
R258,125 ST-456-IRT
R304,125 ST-23-IRT
N024,135 ST-BC-IND
R306,135 ST-23-IRT
R176,137 ST CITY COL-1-IRT
R259,138/GRAND CONC-45-IRT
N078,14 ST-ACEL-IND
N512,14 ST-FLM123-IND
N512,14 ST-123FLM-IRT
A034,14 ST-UNION SQ-LNQR456W-BMT
A034,14 ST-UNION SQ-456LNQRW-IRT
N019,145 ST-ABCD-IND
R178,145 ST-1-IRT
R308,145 ST-3-IRT
R261,149/GRAND CONC-245-IRT
N542,15 ST-PROSPECT-FG-IND
N017,155 ST-C-IND
N202,155 ST-BD-IND
R180,157 ST-1-IRT
N203,161/YANKEE STAD-BD4-IND
N203,161/YANKEE STAD-4BD-IRT
N016A,163 ST-AMSTERDM-C-IND
N207,167 ST-BD-IND
R283,167 ST-4-IRT
R182,168 ST-AC1-IND
R182,168 ST-1AC-IRT
N340A,169 ST-F-IND
N209,170 ST-BD-IND
R284,170 ST-4-IRT
R322,174 ST-25-IRT
N210,174-175 STS-BD-IND
N010,175 ST-A-IND
R286,176 ST-4-IRT
D008,18 AV-N-BMT
E012,18 AV-D-BMT
N549,18 AV-F-IND
R129,18 ST-1-IRT
N007A,181 ST-A-IND
R183,181 ST-1-IRT
N215,182-183 STS-BD-IND
R288,183 ST-4-IRT
N006A,190 ST-A-IND
R185,191 ST-1-IRT
N523,2 AV-F-IND
D009,20 AV-N-BMT
E013,20 AV-D-BMT
R188,207 ST-1-IRT
N401,21 ST-G-IND
N603,21 ST-QNSBRIDGE-F-IND
R190,215 ST-1-IRT
R332,219 ST-25-IRT
R333,225 ST-25-IRT
A030,23 ST-NRW-BMT
N076,23 ST-CE-IND
N508,23 ST-FM-IND
R131,23 ST-1-IRT
R226,23 ST-6-IRT
R194,231 ST-1-IRT
R334,233 ST-25-IRT
R196,238 ST-1-IRT
E015,25 AV-D-BMT
C016,25 ST-R-BMT
A027,28 ST-NRW-BMT
R133,28 ST-1-IRT
R228,28 ST-6-IRT
H006,3 AV-L-BMT
R401,3 AV 138 ST-6-IRT
R310,3 AV-149 ST-25-IRT
R513,30 AV-NQW-BMT
R231,33 ST-6-IRT
R516,33 ST-RAWSON ST-7-IRT
A022,34 ST-HERALD SQ-BDFMNQRW-BMT
A022,34 ST-HERALD SQ-BDFMNQRW-IND
R550,34 ST-HUDSON YD-7-IRT
N070,34 ST-PENN STA-ACE-IND
R135,34 ST-PENN STA-123-IRT
R135,34 ST-PENN STA-123ACE-IRT
R511,36 AV-NQW-BMT
C018,36 ST-DNR-BMT
N312,36 ST-MR-IND
R510,39 AV-NQW-BMT
C012,4 AV-9 ST-DFGMNR-IND
R518,40 ST LOWERY ST-7-IRT
N060,42 ST-BRYANT PK-BDFM7-IND
N060,42 ST-PORT AUTH-ACENGRS1237W-IND
N060,42 ST-PORT AUTH-ACENQRS1237W-IND
C019,45 ST-R-BMT
N316,46 ST-MR-IND
R519,46 ST BLISS ST-7-IRT
N500,47-50 STS ROCK-BDFM-IND
A013,49 ST-NQRW-BMT
C012,4AV-9 ST-DFGMNR-BMT
N303,5 AV/53 ST-EM-IND
A006,5 AV/59 ST-NQRW-BMT
N060,5 AVE-7BDFM-IRT
E004,50 ST-D-BMT
N056,50 ST-CE-IND
R154,50 ST-1-IRT
N305,51 ST-6-IRT
R521,52 ST-7-IRT
C020,53 ST-R-BMT
E005,55 ST-D-BMT
N600,57 ST-F-IND
A010,57 ST-7 AV-NQRW-BMT
A002,59 ST-456NQRW-IRT
C021,59 ST-NQR456W-BMT
C021,59 ST-NRW-BMT
N049,59 ST COLUMBUS-ABCD1-IND
N049,59 ST COLUMBUS-1ABCD-IRT
N512,6 AV-FLM123-BMT
R523,61 ST WOODSIDE-7-IRT
N330B,63 DR-REGO PARK-MR-IND
N322,65 ST-MR-IND
R160,66 ST-LINCOLN-1-IRT
N331,67 AV-MR-IND
R246,68ST-HUNTER CO-6-IRT
R524,69 ST-7-IRT
B004,7 AV-BQ-BMT
N301,7 AV-BDE-IND
N539A,7 AV-FG-IND
E009,71 ST-D-BMT
N046,72 ST-BC-IND
N700,72 ST-123-IRT
R161B,72 ST-2 AVE-Q-IND
R525,74 ST-BROADWAY-7EFMR-IRT
N334B,75 AV-EF-IND
J028,75 ST-ELDERTS-JZ-BMT
C024,77 ST-R-BMT
R247,77 ST-6-IRT
E011,79 ST-D-BMT
R162,79 ST-1-IRT
D002,8 AV-N-BMT
N078,8 AV-ACEL-BMT
A038,8 ST-NYU-NRW-BMT
N131,80 ST-A-IND
N044,81 ST-MUSEUM-BC-IND
R526,82 ST-JACKSON H-7-IRT
J030,85 ST-FOREST PK-J-BMT
C025,86 ST-R-BMT
D016,86 ST-N-BMT
N043,86 ST-BC-IND
R164,86 ST-1-IRT
R249,86 ST-456-IRT
N701,86 ST-2 AVE-Q-IND
N133,88 ST-A-IND
E001,9 AV-D-BMT
R527,90 ST-ELMHURST-7-IRT
N040,96 ST-BC-IND
R168,96 ST-123-IRT
R251,96 ST-6-IRT
N702,96 ST-2 AVE-Q-IND
J020,ALABAMA AV-J-BMT
R329,ALLERTON AV-25-IRT
N181,AQUEDUCT N.COND-A-IND
N181A,AQUEDUCT RACETR-A-IND
R219,ASTOR PL-6-IRT
R514,ASTORIA BLVD-NQW-BMT
R515,ASTORIA DITMARS-NQW-BMT
R610,ATL AV-BARCLAY-BDNQR2345-BMT
R610,ATL AV-BARCLAY-2345BDNQR-IRT
R610,ATL AV-BARCLAY-BDNQR2345-IRT
H035,ATLANTIC AV-L-BMT
B020,AVENUE H-BQ-BMT
N551,AVENUE I-F-IND
B021,AVENUE J-BQ-BMT
B022,AVENUE M-BQ-BMT
N555,AVENUE N-F-IND
N556,AVENUE P-F-IND
B025,AVENUE U-BQ-BMT
D015,AVENUE U-N-BMT
N559,AVENUE U-F-IND
N561,AVENUE X-F-IND
E016,BAY 50 ST-D-BMT
D010,BAY PKWY-N-BMT
E014,BAY PKWY-D-BMT
N553,BAY PKWY-F-IND
C023,BAY RIDGE AV-R-BMT
C027,BAY RIDGE-95 ST-R-BMT
R729,BAYCHESTER AV-5-IRT
N186,BEACH 105 ST-AS-IND
N195,BEACH 25 ST-A-IND
N194,BEACH 36 ST-A-IND
N193,BEACH 44 ST-A-IND
N192,BEACH 60 ST-A-IND
N191,BEACH 67 ST-A-IND
N184,BEACH 90 ST-AS-IND
N185,BEACH 98 ST-AS-IND
H009,BEDFORD AV-L-BMT
N222,BEDFORD PK BLVD-BD-IND
R291,BEDFORD PK BLVD-4-IRT
N417,BEDFORD-NOSTRAN-G-IND
N532,BERGEN ST-FG-IND
R617,BERGEN ST-23-IRT
B017,BEVERLEY ROAD-BQ-BMT
R641,BEVERLY RD-25-IRT
R217,BLEECKER ST-6DF-IRT
R602,BOROUGH HALL-R2345-BMT
R602,BOROUGH HALL-2345R-IRT
R622,BOTANIC GARDEN-S2345-BMT
A064,BOWERY-JZ-BMT
R201,BOWLING GREEN-45-IRT
N337,BRIARWOOD-EF-IND
B029,BRIGHTON BEACH-BQ-BMT
N183,BROAD CHANNEL-AS-IND
A083,BROAD ST-JZ-BMT
N412,BROADWAY-G-IND
R512,BROADWAY-NQW-BMT
N124,BROADWAY JCT-ACJLZ-IND
R326,BRONX PARK EAST-25-IRT
R402,BROOK AV-6-IRT
A069,BROOKLYN BRIDGE-456JZ-IRT
R422,BUHRE AV-6-IRT
R330,BURKE AV-25-IRT
R287,BURNSIDE AV-4-IRT
H033,BUSHWICK AV-L-BMT
R217,B'WAY-LAFAYETTE-BDFQ6-IND
A043,CANAL ST-JNQRZ6W-BMT
N089,CANAL ST-ACE-IND
R119,CANAL ST-1-IRT
H041,CANARSIE-ROCKAW-L-BMT
N535,CARROLL ST-FG-IND
R418,CASTLE HILL AV-6-IRT
N035,CATHEDRAL PKWY-BC-IND
R172,CATHEDRAL PKWY-1-IRT
K017,CENTRAL AV-M-BMT
R301,CENTRAL PK N110-23-IRT
A069,CHAMBERS ST-JZ456-BMT
N094,CHAMBERS ST-ACE23-IND
R116,CHAMBERS ST-123-IRT
J017,CHAUNCEY ST-JZ-BMT
R125,CHRISTOPHER ST-1-IRT
B016,CHURCH AV-BQ-BMT
N546,CHURCH AV-FG-IND
R639,CHURCH AV-25-IRT
A047,CITY HALL-NRW-BMT
R600,CLARK ST-23-IRT
N419,CLASSON AV-G-IND
J022,CLEVELAND ST-J-BMT
N111,CLINTON-WASH AV-C-IND
N420B,CLINTON-WASH AV-G-IND
G009,CONEY IS-STILLW-DFNQ-BMT
B018,CORTELYOU RD-BQ-BMT
N094,CORTLANDT ST-RNW-BMT
N307,COURT SQ-EMG-IND
N307,COURT SQ-7-IRT
N307,COURT SQ-23 ST-EMG-IND
J024,CRESCENT ST-JZ-BMT
R626,CROWN HTS-UTICA-34-IRT
R404,CYPRESS AV-6-IRT
J025,CYPRESS HILLS-J-BMT
C008,DEKALB AV-BDNQR-BMT
H023,DEKALB AV-L-BMT
N525,DELANCEY/ESSEX-FJMZ-BMT
N525,DELANCEY/ESSEX-FJMZ-IND
N548,DITMAS AV-F-IND
N003,DYCKMAN ST-A-IND
R186,DYCKMAN ST-1-IRT
R406,E 143/ST MARY'S-6-IRT
R408,E 149 ST-6-IRT
R325,E 180 ST-25-IRT
H040,EAST 105 ST-L-BMT
N529,EAST BROADWAY-F-IND
R730,EASTCHSTER/DYRE-5-IRT
R621,EASTN PKWY-MUSM-23-IRT
R414,ELDER AV-6-IRT
N325A,ELMHURST AV-MR-IND
N128,EUCLID AV-AC-IND
N196,FAR ROCKAWAY-A-IND
R645,FLATBUSH AV-B.C-25-IRT
J007,FLUSHING AV-JM-BMT
N414,FLUSHING AV-G-IND
R533,FLUSHING-MAIN-7-IRT
N217,FORDHAM RD-BD-IND
R289,FORDHAM RD-4-IRT
K024,FOREST AVE-M-BMT
N333A,FOREST HILLS 71-EFMR-IND
N114,FRANKLIN AV-ACS-IND
R622,FRANKLIN AV-2345S-IRT
R117,FRANKLIN ST-1-IRT
R320,FREEMAN ST-25-IRT
K025,FRESH POND RD-M-BMT
D003,FT HAMILTON PKY-N-BMT
E003,FT HAMILTON PKY-D-BMT
N543,FT HAMILTON PKY-FG-IND
N095,FULTON ST-ACJZ2345-BMT
N095,FULTON ST-ACJZ2345-IND
N095,FULTON ST-2345ACJZ-IND
N095,FULTON ST-2345ACJZ-IRT
N422,FULTON ST-G-IND
J013,GATES AV-JZ-BMT
H013,GRAHAM AV-L-BMT
R619,GRAND ARMY PLAZ-23-IRT
H015,GRAND ST-L-BMT
N520,GRAND ST-BD-IND
N327,GRAND-NEWTOWN-MR-IND
N129,GRANT AV-A-IND
R238,GRD CNTRL-42 ST-4567S-IRT
N405,GREENPOINT AV-G-IND
R331,GUN HILL RD-25-IRT
R728,GUN HILL RD-5-IRT
H028,HALSEY ST-L-BMT
J016,HALSEY ST-J-BMT
R309,HARLEM 148 ST-3-IRT
J003,HEWES ST-JM-BMT
N100,HIGH ST-AC-IND
R123,HOUSTON ST-1-IRT
N182,HOWARD BCH JFK-A-IND
R606,HOYT ST-23-IRT
N108,HOYT-SCHER-ACG-IND
R507,HUNTERS PT AV-7-IRT
R412,HUNTS POINT AV-6-IRT
R316,INTERVALE AV-25-IRT
N002A,INWOOD-207 ST-A-IND
R312,JACKSON AV-25-IRT
N343,JAMAICA 179 ST-F-IND
N606,JAMAICA CENTER-EJZ-IND
N604,JAMAICA VAN WK-E-IND
N103,JAY ST-METROTEC-R-BMT
N103,JAY ST-METROTEC-ACF-IND
H022,JEFFERSON ST-L-BMT
N606,JFK JAMAICA CT1-E-IND
R525,JKSN HT-ROOSVLT-EFMR7-IND
R528,JUNCTION BLVD-7-IRT
R630,JUNIUS ST-3-IRT
N336,KEW GARDENS-EF-IND
B024,KINGS HWY-BQ-BMT
D012,KINGS HWY-N-BMT
N557,KINGS HWY-F-IND
N221,KINGSBRIDGE RD-BD-IND
R290,KINGSBRIDGE RD-4-IRT
R624,KINGSTON AV-3-IRT
N119,KINGSTON-THROOP-C-IND
K019,KNICKERBOCKER-M-BMT
J012,KOSCIUSZKO ST-J-BMT
N110,LAFAYETTE AV-C-IND
N305,LEXINGTON AV/53-EM6-IND
N601,LEXINGTON AV/63-F-IND
N125,LIBERTY AV-C-IND
H038,LIVONIA AV-L-BMT
R410,LONGWOOD AV-6-IRT
H012,LORIMER ST-LG-BMT
J005,LORIMER ST-JM-BMT
R192,MARBLE HILL-225-1-IRT
J001,MARCY AV-JMZ-BMT
H012,METROPOLITAN AV-GL-IND
K026,METROPOLITAN AV-M-BMT
R532,METS-WILLETS PT-7-IRT
R421,MIDDLETOWN RD-6-IRT
H017,MONTROSE AV-L-BMT
H019,MORGAN AV-L-BMT
R415,MORISN AV/SNDVW-6-IRT
R726,MORRIS PARK-5-IRT
R293,MOSHOLU PKWY-4-IRT
R285,MT EDEN AV-4-IRT
J009,MYRTLE AV-JMZ-BMT
N415,MYRTLE-WILLOUGH-G-IND
H026,MYRTLE-WYCKOFF-LM-BMT
N408A,NASSAU AV-G-IND
B026,NECK RD-BQ-BMT
N562,NEPTUNE AV-F-IND
R335,NEREID AV-25-IRT
R608,NEVINS ST-2345-IRT
H039,NEW LOTS-L-BMT
R634,NEW LOTS AV-3-IRT
E006,NEW UTRECHT AV-ND-BMT
R643,NEWKIRK AV-25-IRT
B019,NEWKIRK PLAZA-BQ-BMT
N318,NORTHERN BLVD-MR-IND
N224,NORWOOD 205 ST-D-IND
J023,NORWOOD AV-JZ-BMT
N116,NOSTRAND AV-AC-IND
R623,NOSTRAND AV-3-IRT
B032,OCEAN PKWY-Q-BMT
N141,OZONE PK LEFFRT-A-IND
B009,PARK PLACE-S-BMT
N094,PARK PLACE-23ACE-IRT
R417,PARKCHESTER-6-IRT
B014,PARKSIDE AV-BQ-BMT
N339A,PARSONS BLVD-F-IND
R423,PELHAM BAY PARK-6-IRT
R328,PELHAM PKWY-25-IRT
R727,PELHAM PKWY-5-IRT
R632,PENNSYLVANIA AV-3-IRT
R635,PRESIDENT ST-25-IRT
A041,PRINCE ST-NRW-BMT
C014,PROSPECT AV-R-BMT
R314,PROSPECT AV-25-IRT
B013,PROSPECT PARK-BQS-BMT
N309A,QUEENS PLAZA-EMR-IND
R509,QUEENSBORO PLZ-7NQW-IRT
N121B,RALPH AV-C-IND
A054,RECTOR ST-NRW-BMT
R103,RECTOR ST-1-IRT
N122,ROCKAWAY AV-C-IND
R629,ROCKAWAY AV-3-IRT
N134,ROCKAWAY BLVD-A-IND
N187,ROCKAWAY PARK B-AS-IND
N602,ROOSEVELT ISLND-F-IND
R628,SARATOGA AV-3-IRT
K022,SENECA AVE-M-BMT
B027,SHEEPSHEAD BAY-BQ-BMT
N127,SHEPHERD AV-C-IND
R318,SIMPSON ST-25-IRT
N536,SMITH-9 ST-FG-IND
R101,SOUTH FERRY-1RW-IRT
N086,SPRING ST-CE-IND
R215,SPRING ST-6-IRT
R416,ST LAWRENCE AV-6-IRT
N315,STEINWAY ST-MR-IND
R636,STERLING ST-25-IRT
N338B,SUTPHIN BLVD-F-IND
N605,SUTPHIN-ARCHER-EJZ-IND
H037,SUTTER AV-L-BMT
R627,SUTTER AV-RUTLD-3-IRT
N060,TIMES SQ-42 ST-ACENQRS1237W-BMT
N060,TIMES SQ-42 ST-1237ACENQRSW-IRT
N060,TIMES SQ-42 ST-1237ACENQRS-IRT
N213,TREMONT AV-BD-IND
C010,UNION ST-R-BMT
N120,UTICA AV-AC-IND
R197,V.CORTLANDT PK-1-IRT
J021,VAN SICLEN AV-JZ-BMT
R633,VAN SICLEN AV-3-IRT
N126,VAN SICLEN AVE-C-IND
R504,VERNON-JACKSON-7-IRT
N080,W 4 ST-WASH SQ-ABCDEFM-IND
G011,W 8 ST-AQUARIUM-FQ-BMT
R336,WAKEFIELD/241-2-IRT
R111,WALL ST-23-IRT
R203,WALL ST-45-IRT
R323,WEST FARMS SQ-25-IRT
R420,WESTCHESTER SQ-6-IRT
R101,WHITEHALL S-FRY-R1W-BMT
R413,WHITLOCK AV-6-IRT
H032,WILSON AV-L-BMT
R637,WINTHROP ST-25-IRT
J031,WOODHAVEN BLVD-JZ-BMT
N329,WOODHAVEN BLVD-MR-IND
R294,WOODLAWN-4-IRT
N094,WORLD TRADE CTR-ACE23-IND
R106,WTC-CORTLANDT-1-IRT
N530,YORK ST-F-IND
R419,ZEREGA AV-6-IRT
